,SEASON,TEAM,DRTG,OPP_TS
12,2001,HOU,104.2,0.5175608077706905
13,2001,CHO,99.5,0.4980019145153693
14,2001,PHX,98.0,0.5219385265034164
15,2001,MIN,103.7,0.5218148516738307
16,2001,ORL,102.1,0.5139003262693754
17,2001,SEA,105.6,0.5260742317413862
18,2001,IND,102.2,0.5185473594789749
19,2001,DET,101.8,0.543028519444079
20,2001,BOS,103.7,0.5397043938223098
21,2001,DEN,106.3,0.5233373397435898
22,2001,LAC,104.5,0.5358074913501326
23,2001,CLE,104.9,0.5147730970050974
24,2001,NJN,105.5,0.5257357400112845
25,2001,ATL,104.3,0.5109964173872041
26,2001,VAN,105.8,0.5270293796457983
27,2001,WAS,107.8,0.5194765314321687
28,2001,GSW,107.4,0.5450635552622054
29,2001,CHI,107.3,0.5459786697163481
1,2002,SAC,101.1,0.5042356906836981
2,2002,LAL,101.7,0.502666257035956
3,2002,SAS,99.7,0.4947716705059295
4,2002,NJN,99.5,0.5175371554563399
5,2002,DAL,107.7,0.5032268387647341
6,2002,MIN,105.3,0.5155285941071536
7,2002,POR,104.0,0.5117017962270637
8,2002,SEA,105.6,0.5269484743194954
9,2002,BOS,101.0,0.5147325524333781
10,2002,DET,102.4,0.5020367605362689
11,2002,PHI,100.3,0.5256166673017981
12,2002,ORL,105.3,0.5235722106262372
13,2002,UTA,104.6,0.5390183479136021
14,2002,CHO,103.3,0.524784892406046
15,2002,IND,103.8,0.5204855922593499
16,2002,MIL,107.1,0.5234501405092395
17,2002,LAC,106.0,0.5152590934995268
18,2002,TOR,103.1,0.5135404448780893
19,2002,PHX,104.0,0.5044291338582677
20,2002,WAS,106.4,0.5252914698937426
21,2002,MIA,100.2,0.5240476278014423
22,2002,CLE,108.2,0.519614911793845
23,2002,NYK,105.9,0.5404514636246233
24,2002,ATL,106.4,0.5369245900237327
25,2002,HOU,108.6,0.5346280825044321
26,2002,GSW,108.5,0.5344281453591675
27,2002,DEN,107.8,0.5263219369374046
28,2002,MEM,106.3,0.5299566306023072
29,2002,CHI,107.6,0.5330474268415741
1,2003,DAL,102.3,0.5061384242833812
2,2003,SAC,99.1,0.5052603950217633
3,2003,SAS,99.7,0.49629851833599387
4,2003,NJN,98.1,0.5199614822611256
5,2003,DET,99.9,0.5109300746775288
6,2003,IND,100.8,0.5235120217459904
7,2003,POR,102.6,0.5190069310679771
8,2003,UTA,102.8,0.5061403039383562
9,2003,LAL,104.7,0.5326564801385189
10,2003,PHI,102.5,0.5198424229797081
11,2003,MIN,103.8,0.5219423490638188
12,2003,NOH,101.6,0.5179205533897293
13,2003,HOU,102.6,0.5057834025861431
14,2003,PHX,102.5,0.515511289171133
15,2003,ORL,105.0,0.5340019839082993
16,2003,MIL,108.6,0.5148342980155862
17,2003,SEA,103.9,0.48877856059126623
18,2003,BOS,101.6,0.5122055273453758
19,2003,WAS,104.1,0.5320433037917641
20,2003,GSW,109.5,0.5354753242007169
21,2003,NYK,106.2,0.5136845671344537
22,2003,MEM,107.3,0.5253662059545429
23,2003,ATL,106.1,0.5244978808693654
24,2003,LAC,106.8,0.5343799682034976
25,2003,CHI,105.6,0.5374292143853273
26,2003,MIA,102.4,0.5213865693564208
27,2003,TOR,107.0,0.5289202854376591
28,2003,DEN,101.3,0.5336006060012677
29,2003,CLE,106.7,0.524780152151024
1,2004,SAS,94.1,0.4798343186060983
2,2004,DET,95.4,0.4838777454056477
3,2004,IND,97.2,0.5035140562248996
4,2004,MIN,99.7,0.5062471859522738
5,2004,SAC,104.9,0.4948215078760232
6,2004,DAL,107.4,0.498885709569141
7,2004,LAL,101.3,0.48961372607912124
8,2004,NJN,98.0,0.5161312947117408
9,2004,MEM,102.2,0.5303915586359345
10,2004,HOU,99.0,0.5122854601799731
11,2004,DEN,102.7,0.5184430063503593
12,2004,MIL,105.4,0.5182087452534168
13,2004,MIA,101.7,0.5137353649445169
14,2004,NOH,102.4,0.5170355466130114
15,2004,SEA,108.0,0.5156083244397012
16,2004,GSW,103.8,0.5151809129869299
17,2004,POR,105.1,0.5130589683807927
18,2004,UTA,103.3,0.5184498638707061
19,2004,BOS,103.7,0.522063887270223
20,2004,NYK,103.3,0.52342681529436
21,2004,PHI,101.9,0.5252950160389374
22,2004,CLE,104.2,0.5281206045031039
23,2004,TOR,100.4,0.5222382535600025
24,2004,PHX,105.5,0.5333815967379617
25,2004,LAC,108.5,0.5206926991380205
26,2004,ATL,106.1,0.5288823786666105
27,2004,WAS,104.8,0.5356457203570357
28,2004,CHI,103.4,0.5374427560366362
29,2004,ORL,110.4,0.5403512707090097
1,2005,SAS,98.8,0.5019946808510638
2,2005,PHX,107.1,0.5035971223021583
3,2005,MIA,103.1,0.5075441526018352
