,SEASON,TEAM,DRTG,OPP_TS
128,1978,BOS,100.9,0.5038044941871346
129,1978,BUF,103.8,0.5198860332596814
130,1978,CHI,102.9,0.527737531003659
131,1978,CLE,99.4,0.49837889427957877
132,1978,DEN,101.5,0.5145029186841034
133,1978,DET,101.5,0.5215907884227391
134,1978,GSW,99.3,0.5143862013973268
135,1978,HOU,106.1,0.5269576288158384
136,1978,IND,101.9,0.5209191142831
137,1978,KCK,102.2,0.5260126261462605
138,1978,LAL,100.8,0.5024481894784787
139,1978,MIL,102.4,0.5271029484074229
140,1978,NJN,100.2,0.520180029779362
141,1978,NOJ,100.6,0.5037748044148604
142,1978,NYK,102.2,0.5210540401900217
143,1978,PHI,100.3,0.5072013906133599
144,1978,PHO,97.0,0.515194923608829
145,1978,POR,97.2,0.5001754369100033
146,1978,SAS,101.4,0.5094371697885305
147,1978,SEA,97.7,0.5054922408917942
148,1978,WSB,100.5,0.5040567267496742
149,1979,ATL,103.6,0.5428598989844025
150,1979,BOS,106.4,0.5458546080284352
151,1979,CHI,105.1,0.5368785508796785
152,1979,CLE,107.3,0.5499554534257045
153,1979,DEN,103.2,0.5207197129688509
154,1979,DET,104.6,0.535284032990455
155,1979,GSW,102.0,0.5235761653988686
156,1979,HOU,107.7,0.5360067179663729
157,1979,IND,104.5,0.5279115724757184
158,1979,KCK,101.9,0.5421273369419172
159,1979,LAL,103.2,0.5178991082638509
160,1979,MIL,104.0,0.5352140622811522
161,1979,NJN,101.8,0.5355616684024453
162,1979,NOJ,105.4,0.5203140716320824
163,1979,NYK,105.4,0.5319733072886244
164,1979,PHI,100.3,0.5103656647756958
165,1979,PHO,102.4,0.5346956509551641
166,1979,POR,103.1,0.5383335130842313
167,1979,SAS,102.4,0.5196691004919497
168,1979,SDC,107.9,0.5347982022063831
169,1979,SEA,100.1,0.5047697391815582
170,1979,WSB,102.7,0.509514248763238
171,1980,ATL,102.3,0.5193791879387364
172,1980,BOS,101.9,0.5225144378989419
173,1980,CHI,107.0,0.5469446166363178
174,1980,CLE,106.4,0.5453482935951379
175,1980,DEN,107.6,0.5388132114200411
176,1980,DET,108.8,0.5447773040638606
177,1980,GSW,106.3,0.5468622596474583
178,1980,HOU,108.0,0.5444622130017817
179,1980,IND,106.2,0.5363071024454108
180,1980,KCK,101.0,0.5316611211912966
181,1980,LAL,103.9,0.5116594818719172
182,1980,MIL,102.9,0.5126060320452404
183,1980,NJN,102.5,0.524321507522188
184,1980,NYK,107.5,0.5476612693578936
185,1980,PHI,101.0,0.5057732104223498
186,1980,PHO,102.2,0.5241691986553119
187,1980,POR,104.3,0.5285434692522379
188,1980,SAS,109.0,0.5454078866680294
189,1980,SDC,109.8,0.543565982738813
190,1980,SEA,101.2,0.5087421194262416
191,1980,UTA,110.4,0.5450675891170482
192,1980,WSB,105.7,0.514317518632701
193,1981,ATL,107.3,0.5516226099259688
194,1981,BOS,102.6,0.5137456796193727
195,1981,CHI,105.8,0.5362485700038133
196,1981,CLE,109.1,0.5510586061887747
197,1981,DAL,110.8,0.5582553142981757
198,1981,DEN,109.8,0.5496114069174832
199,1981,DET,104.3,0.5540201517500204
200,1981,GSW,109.7,0.5507063657614666
201,1981,HOU,106.7,0.5352227484483317
202,1981,IND,105.0,0.5392023370385958
203,1981,KCK,104.7,0.5335280516003408
204,1981,LAL,103.9,0.5087555430193792
205,1981,MIL,101.8,0.5161480607580002
206,1981,NJN,106.7,0.5558943284614055
207,1981,NYK,104.4,0.5442003576387848
208,1981,PHI,99.5,0.504786936265905
209,1981,PHO,99.4,0.5179865336803103
210,1981,POR,105.7,0.536330160726365
211,1981,SAS,105.7,0.5197352263828328
212,1981,SDC,107.6,0.5527007350227887
213,1981,SEA,104.8,0.5131989122504477
214,1981,UTA,109.4,0.5418422636965683
215,1981,WSB,102.7,0.512980582432266
216,1982,ATL,104.6,0.5279397211668128
217,1982,BOS,103.5,0.5162391409093728
218,1982,CHI,108.6,0.5372485925039681
